epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.718,1.4199,1.36673,1.86827,0.19166,0.21477,0.11432,0.04123,2.61905,2.68143,3.17137,0.000662879,0.000662879,0.000662879
2,462.157,1.37339,1.3756,1.76703,0.19017,0.17653,0.10571,0.032,2.64889,3.13642,3.27044,0.00130322,0.00130322,0.00130322
3,690.256,1.38081,1.43078,1.75869,0.27547,0.27517,0.16331,0.05187,2.49417,2.63655,3.03888,0.00191716,0.00191716,0.00191716
4,924.115,1.40469,1.49761,1.76895,0.33732,0.28188,0.22317,0.07873,2.31793,2.47984,2.85458,0.0018812,0.0018812,0.0018812
5,1157.93,1.3715,1.45012,1.75838,0.36802,0.35565,0.29089,0.10857,2.0692,2.16398,2.57992,0.0018416,0.0018416,0.0018416
6,1391.56,1.31536,1.36188,1.70388,0.31026,0.27517,0.22023,0.08772,2.25777,2.49045,2.79034,0.001802,0.001802,0.001802
7,1625.53,1.32392,1.35862,1.69985,0.34797,0.31544,0.27622,0.10413,2.2034,2.18637,2.7285,0.0017624,0.0017624,0.0017624
8,1858.77,1.28956,1.30306,1.68171,0.28276,0.24161,0.18919,0.05446,2.45838,2.9788,3.13492,0.0017228,0.0017228,0.0017228
9,2093.2,1.30314,1.33099,1.69503,0.34771,0.4698,0.34413,0.12784,2.18478,1.98459,2.71588,0.0016832,0.0016832,0.0016832
10,2326.64,1.26387,1.26078,1.65958,0.34006,0.36242,0.27099,0.09987,2.21003,2.28205,2.75775,0.0016436,0.0016436,0.0016436
11,2559.14,1.2189,1.20478,1.61992,0.33379,0.47651,0.30942,0.13078,2.06756,2.07404,2.67578,0.001604,0.001604,0.001604
12,2797.18,1.24712,1.2219,1.64336,0.4076,0.39597,0.35623,0.15799,2.0406,2.13225,2.6296,0.0015644,0.0015644,0.0015644
13,3031.72,1.20431,1.19579,1.60164,0.48292,0.37584,0.35013,0.14472,2.16535,1.96714,2.71801,0.0015248,0.0015248,0.0015248
14,3264.97,1.2043,1.16955,1.6017,0.29847,0.36913,0.24674,0.0957,2.12592,2.2176,2.76059,0.0014852,0.0014852,0.0014852
15,3496.71,1.12979,1.081,1.54309,0.38175,0.47656,0.33005,0.14536,2.21141,1.97056,2.8331,0.0014456,0.0014456,0.0014456
16,3734.51,1.14262,1.07856,1.55143,0.3552,0.36972,0.30797,0.12069,2.13149,2.08345,2.77681,0.001406,0.001406,0.001406
17,3967.86,1.13955,1.0935,1.54526,0.44645,0.4698,0.35687,0.14215,2.06453,2.01725,2.69657,0.0013664,0.0013664,0.0013664
18,4201.57,1.10176,1.02671,1.50745,0.21683,0.24161,0.15711,0.05649,2.57917,3.12436,3.41577,0.0013268,0.0013268,0.0013268
19,4435,1.08823,1.02917,1.50577,0.23425,0.22148,0.14063,0.05322,2.49373,2.89019,3.19998,0.0012872,0.0012872,0.0012872
20,4666.9,1.06858,0.9909,1.48712,0.24285,0.2349,0.16717,0.06698,2.66663,2.88602,3.51921,0.0012476,0.0012476,0.0012476
21,4899.53,1.02989,0.94746,1.45666,0.4125,0.42282,0.32889,0.14261,2.03059,2.02386,2.66022,0.001208,0.001208,0.001208
22,5133.19,1.05135,0.96069,1.46231,0.30999,0.24424,0.18866,0.07163,2.55269,2.6432,3.33148,0.0011684,0.0011684,0.0011684
23,5365.33,1.01535,0.92747,1.44691,0.25717,0.34228,0.22132,0.09011,2.51376,2.8708,3.22928,0.0011288,0.0011288,0.0011288
24,5597.97,1.00616,0.92845,1.4354,0.41287,0.40268,0.33744,0.13604,2.08956,2.01778,2.75638,0.0010892,0.0010892,0.0010892
25,5832.35,1.00549,0.90715,1.4293,0.34208,0.4698,0.32,0.13363,2.22484,2.17542,2.96756,0.0010496,0.0010496,0.0010496
26,6064.75,0.96541,0.86082,1.39199,0.45643,0.36633,0.31336,0.13248,2.18383,2.16291,2.89423,0.00101,0.00101,0.00101
27,6296,0.95164,0.84842,1.38977,0.4103,0.42953,0.35269,0.14949,2.26133,2.0775,3.03406,0.0009704,0.0009704,0.0009704
