epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.999,1.21307,1.17007,1.4165,0.43594,0.55705,0.45178,0.20445,1.97363,1.77837,2.24877,0.000662879,0.000662879,0.000662879
2,202.687,1.09812,0.99759,1.33031,0.36936,0.44966,0.36254,0.15797,2.06437,1.9523,2.47307,0.00130322,0.00130322,0.00130322
3,302.809,1.13911,1.02804,1.35294,0.19504,0.33557,0.16091,0.06672,2.49428,2.78968,2.86525,0.00191716,0.00191716,0.00191716
4,404.121,1.14264,1.04496,1.35467,0.42135,0.54362,0.39623,0.1781,2.01922,1.82546,2.36291,0.0018812,0.0018812,0.0018812
5,504.425,1.14207,1.01275,1.35356,0.55515,0.44295,0.46047,0.20122,2.05588,1.7825,2.27138,0.0018416,0.0018416,0.0018416
6,604.51,1.10314,0.98909,1.33096,0.4416,0.43624,0.39565,0.17322,1.99987,1.93777,2.26869,0.001802,0.001802,0.001802
7,704.383,1.11233,0.98611,1.3361,0.46167,0.41611,0.37482,0.15478,2.08666,2.16632,2.34657,0.0017624,0.0017624,0.0017624
8,805.19,1.06297,0.94491,1.29184,0.5103,0.4094,0.3783,0.16082,1.93412,1.87423,2.21888,0.0017228,0.0017228,0.0017228
9,905.633,1.06843,0.93698,1.30192,0.5053,0.43874,0.38111,0.17102,2.0631,2.02806,2.36018,0.0016832,0.0016832,0.0016832
10,1005.73,1.05546,0.92267,1.28747,0.48164,0.53005,0.4293,0.18243,1.99969,1.79203,2.2926,0.0016436,0.0016436,0.0016436
11,1107.66,1.02389,0.8866,1.27137,0.47347,0.47651,0.42019,0.17906,2.04953,1.74545,2.41798,0.001604,0.001604,0.001604
12,1209.8,1.02702,0.88411,1.27663,0.5789,0.44966,0.41864,0.19245,1.95935,1.93239,2.27968,0.0015644,0.0015644,0.0015644
13,1312.38,1.02157,0.88647,1.2705,0.51472,0.39597,0.38258,0.15485,2.05825,2.05651,2.31954,0.0015248,0.0015248,0.0015248
14,1414.58,1.00683,0.86243,1.2572,0.36594,0.39597,0.30385,0.12192,2.0184,1.97266,2.36647,0.0014852,0.0014852,0.0014852
15,1514.74,0.98385,0.83062,1.24315,0.41802,0.46309,0.40536,0.18735,1.98294,1.93362,2.32311,0.0014456,0.0014456,0.0014456
16,1614.75,0.97355,0.80557,1.23501,0.46844,0.44295,0.38518,0.17391,2.00809,1.97106,2.26957,0.001406,0.001406,0.001406
17,1714.75,0.95276,0.78827,1.22072,0.56675,0.38926,0.38878,0.16805,2.05554,2.0107,2.37216,0.0013664,0.0013664,0.0013664
18,1815.27,0.94107,0.78142,1.20679,0.61931,0.32215,0.35127,0.15411,2.16552,2.38272,2.57683,0.0013268,0.0013268,0.0013268
19,1916.52,0.93086,0.77424,1.20826,0.49254,0.44966,0.38433,0.16898,2.07666,2.01676,2.36774,0.0012872,0.0012872,0.0012872
20,2016.11,0.92073,0.74335,1.1924,0.37926,0.46309,0.35478,0.16379,2.12657,2.09046,2.49979,0.0012476,0.0012476,0.0012476
21,2116.95,0.88804,0.74639,1.18264,0.54597,0.32215,0.36243,0.16282,2.16789,2.18039,2.48426,0.001208,0.001208,0.001208
22,2216.51,0.91304,0.73884,1.18871,0.51867,0.44966,0.40107,0.17253,1.97564,2.00988,2.27238,0.0011684,0.0011684,0.0011684
23,2317.09,0.8957,0.73298,1.18622,0.47146,0.41611,0.39428,0.1829,2.05299,1.96107,2.33612,0.0011288,0.0011288,0.0011288
24,2417.78,0.8716,0.73051,1.17296,0.50357,0.38926,0.40422,0.18234,2.04253,2.01807,2.34115,0.0010892,0.0010892,0.0010892
25,2518.26,0.86129,0.69195,1.17071,0.46047,0.50407,0.403,0.18878,1.97165,1.95594,2.3067,0.0010496,0.0010496,0.0010496
26,2618.95,0.84004,0.67529,1.14228,0.4389,0.39899,0.38208,0.17874,2.0397,2.06957,2.45503,0.00101,0.00101,0.00101
27,2721.46,0.82967,0.66298,1.14425,0.45843,0.49664,0.40818,0.179,2.03352,2.0043,2.40927,0.0009704,0.0009704,0.0009704
28,2823.71,0.81997,0.6493,1.13289,0.56891,0.46309,0.42753,0.19175,2.03701,1.98949,2.52744,0.0009308,0.0009308,0.0009308
29,2925.96,0.81752,0.63697,1.13873,0.40972,0.48993,0.415,0.18842,1.9959,2.03997,2.44406,0.0008912,0.0008912,0.0008912
30,3027.21,0.78466,0.63175,1.11383,0.48663,0.40268,0.38801,0.19028,2.02584,2.06421,2.40827,0.0008516,0.0008516,0.0008516
31,3127.19,0.77399,0.60422,1.11332,0.48213,0.44363,0.42288,0.20557,2.0341,1.98638,2.507,0.000812,0.000812,0.000812
32,3227.31,0.76391,0.61662,1.10317,0.48893,0.37584,0.38277,0.18317,2.03196,2.01689,2.42271,0.0007724,0.0007724,0.0007724
33,3327.59,0.75999,0.59523,1.10779,0.39299,0.48993,0.39703,0.18089,2.0504,2.12133,2.42055,0.0007328,0.0007328,0.0007328
34,3426.33,0.7525,0.59478,1.09805,0.49899,0.40268,0.39641,0.18427,2.09866,2.13507,2.5933,0.0006932,0.0006932,0.0006932
35,3526.39,0.73321,0.57173,1.08834,0.51978,0.34899,0.35183,0.16058,2.27311,2.17839,2.75945,0.0006536,0.0006536,0.0006536
36,3627,0.73803,0.5688,1.08543,0.50456,0.38276,0.36739,0.18966,2.08352,2.03963,2.59374,0.000614,0.000614,0.000614
