epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3702,2.13121,2.8918,2.30297,0.00099,0.20805,0.00072,0.00019,4.62578,inf,32.6398,0.000662879,0.000662879,0.000662879
2,202.301,2.09734,2.83256,2.2879,0.03527,0.14094,0.01341,0.0035,2.96343,3.49596,3.37761,0.00131638,0.00131638,0.00131638
3,303.849,2.06928,2.77389,2.2368,0.06982,0.18792,0.03868,0.01097,2.74281,3.26015,3.09427,0.00195669,0.00195669,0.00195669
4,406.104,1.99377,2.67367,2.16308,0.12432,0.24161,0.0766,0.02172,2.46422,3.96595,2.78551,0.0019406,0.0019406,0.0019406
5,508.31,1.9033,2.5638,2.09086,0.1677,0.26846,0.10496,0.0346,2.42166,2.81687,2.66921,0.0019208,0.0019208,0.0019208
6,608.139,1.86485,2.47539,2.04295,0.16776,0.30872,0.13088,0.0534,2.17751,2.50358,2.42125,0.001901,0.001901,0.001901
7,709.641,1.82751,2.4106,1.99317,0.22736,0.32215,0.16096,0.04784,2.226,2.47663,2.42954,0.0018812,0.0018812,0.0018812
8,806.742,1.76827,2.32515,1.95727,0.20411,0.2953,0.13849,0.04998,2.35947,2.43201,2.59088,0.0018614,0.0018614,0.0018614
9,903.249,1.75706,2.28012,1.94924,0.2102,0.31544,0.14563,0.05099,2.08454,2.46614,2.33868,0.0018416,0.0018416,0.0018416
10,999.449,1.73196,2.25393,1.91622,0.31369,0.26174,0.26222,0.0957,2.13093,2.28969,2.34469,0.0018218,0.0018218,0.0018218
11,1102.04,1.6943,2.19425,1.88487,0.25325,0.33686,0.22212,0.07913,2.27001,2.29353,2.58732,0.001802,0.001802,0.001802
12,1203.96,1.68307,2.13664,1.86476,0.29082,0.33557,0.23564,0.09314,2.12805,2.26975,2.32619,0.0017822,0.0017822,0.0017822
13,1305.44,1.66747,2.13588,1.86451,0.34137,0.33557,0.27554,0.09851,2.16295,2.22142,2.45113,0.0017624,0.0017624,0.0017624
14,1407.63,1.66345,2.10935,1.85148,0.34306,0.42282,0.32956,0.12483,2.16209,2.18047,2.33833,0.0017426,0.0017426,0.0017426
15,1513.16,1.6394,2.04321,1.83824,0.29279,0.39179,0.29081,0.11753,2.20079,2.13464,2.44167,0.0017228,0.0017228,0.0017228
16,1613.93,1.6488,2.0213,1.83303,0.29615,0.42282,0.29587,0.1055,2.10003,2.16414,2.34,0.001703,0.001703,0.001703
17,1716.16,1.6396,2.03479,1.83324,0.35251,0.3557,0.29092,0.12303,2.0488,2.06773,2.30675,0.0016832,0.0016832,0.0016832
18,1817.25,1.62149,1.97322,1.80271,0.34445,0.38926,0.31731,0.13922,2.00212,2.01919,2.25356,0.0016634,0.0016634,0.0016634
19,1924.63,1.60649,2.02129,1.81766,0.33939,0.4379,0.28679,0.11672,2.02813,2.08217,2.26314,0.0016436,0.0016436,0.0016436
20,2025.85,1.59535,1.93955,1.79037,0.38496,0.47651,0.35008,0.14377,2.08683,1.99587,2.31796,0.0016238,0.0016238,0.0016238
21,2133.55,1.57315,1.92781,1.77873,0.39109,0.34899,0.31209,0.12255,2.18739,2.22558,2.39456,0.001604,0.001604,0.001604
22,2234.12,1.5901,1.93415,1.78081,0.34647,0.45638,0.33015,0.13516,2.032,1.95469,2.25629,0.0015842,0.0015842,0.0015842
23,2334.55,1.57509,1.87155,1.76885,0.36536,0.32842,0.29898,0.13035,2.08849,2.12853,2.27806,0.0015644,0.0015644,0.0015644
24,2434.97,1.56676,1.88868,1.76047,0.35326,0.42282,0.34343,0.15628,2.00481,1.94454,2.20804,0.0015446,0.0015446,0.0015446
25,2542.58,1.54504,1.83844,1.75739,0.32381,0.42953,0.32907,0.14215,2.05718,2.06143,2.2815,0.0015248,0.0015248,0.0015248
26,2643.38,1.5491,1.81593,1.73802,0.35589,0.36242,0.32347,0.13277,2.05751,2.0482,2.29544,0.001505,0.001505,0.001505
27,2744.82,1.51847,1.80065,1.72784,0.39132,0.4094,0.33669,0.15006,2.07993,2.01127,2.26223,0.0014852,0.0014852,0.0014852
28,2847.09,1.51536,1.76655,1.72169,0.43614,0.44646,0.40143,0.16484,2.13631,1.95793,2.34154,0.0014654,0.0014654,0.0014654
29,2953.81,1.52598,1.73983,1.71685,0.45181,0.44966,0.39427,0.17674,2.00412,1.89605,2.17064,0.0014456,0.0014456,0.0014456
30,3060.49,1.50383,1.71781,1.69974,0.38159,0.38101,0.33929,0.14611,2.11956,2.02675,2.31182,0.0014258,0.0014258,0.0014258
31,3157.46,1.47246,1.66864,1.68643,0.33387,0.28859,0.24569,0.08856,2.41869,2.33251,2.71558,0.001406,0.001406,0.001406
32,3258.14,1.49377,1.66543,1.69475,0.3753,0.45638,0.36198,0.16027,1.87044,1.92854,2.07558,0.0013862,0.0013862,0.0013862
33,3358.77,1.46919,1.6455,1.68551,0.37459,0.45638,0.36756,0.15749,2.14117,1.85401,2.37698,0.0013664,0.0013664,0.0013664
34,3458.85,1.496,1.66572,1.70357,0.37143,0.44295,0.33264,0.16074,1.98338,1.89864,2.17633,0.0013466,0.0013466,0.0013466
35,3559.46,1.44667,1.60475,1.65714,0.49271,0.40415,0.40178,0.16982,2.0789,1.8798,2.2734,0.0013268,0.0013268,0.0013268
36,3660.1,1.43942,1.59016,1.65276,0.43193,0.45927,0.37156,0.14541,2.25594,1.90648,2.44351,0.001307,0.001307,0.001307
