epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6109,1.989,3.10396,2.06918,0.15625,0.16107,0.10309,0.03546,2.29066,3.97681,2.72199,0.000662879,0.000662879,0.000662879
2,105.728,1.99587,2.74573,2.04776,0.02603,0.15436,0.01384,0.00376,2.85661,27.1653,3.22777,0.00131638,0.00131638,0.00131638
3,155.994,1.99928,2.60804,2.02734,0.11695,0.24832,0.06848,0.01875,2.51176,3.87,2.82878,0.00195669,0.00195669,0.00195669
4,205.617,1.93991,2.51216,1.98862,0.21252,0.2349,0.14337,0.04225,2.17192,3.20661,2.3989,0.0019406,0.0019406,0.0019406
5,254.191,1.86217,2.38638,1.92387,0.19863,0.33557,0.17436,0.05391,2.06717,2.44751,2.26344,0.0019208,0.0019208,0.0019208
6,304.604,1.80492,2.28684,1.86959,0.21757,0.2953,0.15368,0.0657,2.03537,2.37607,2.2683,0.001901,0.001901,0.001901
7,354.102,1.75776,2.24501,1.83417,0.30115,0.38255,0.28032,0.0993,1.97405,2.27648,2.16396,0.0018812,0.0018812,0.0018812
8,403.677,1.71679,2.1667,1.79817,0.31619,0.34228,0.251,0.09653,1.92548,2.30973,2.09618,0.0018614,0.0018614,0.0018614
9,451.636,1.70828,2.13754,1.79564,0.33276,0.41611,0.31784,0.12965,1.94995,2.10576,2.12068,0.0018416,0.0018416,0.0018416
10,500.927,1.67316,2.06898,1.75175,0.38694,0.30201,0.2922,0.13041,2.01352,2.26249,2.23836,0.0018218,0.0018218,0.0018218
11,550.318,1.64237,2.02378,1.73125,0.49602,0.39597,0.3596,0.15773,1.93944,2.01867,2.08293,0.001802,0.001802,0.001802
12,599.595,1.61708,1.97708,1.71112,0.44635,0.46309,0.39498,0.17107,1.93628,1.96046,2.13366,0.0017822,0.0017822,0.0017822
13,648.034,1.59356,1.96984,1.69343,0.40652,0.43624,0.33951,0.15011,1.81867,2.06554,1.98868,0.0017624,0.0017624,0.0017624
14,696.211,1.57318,1.92561,1.67491,0.43353,0.49664,0.37842,0.17663,1.80627,1.97812,2.04549,0.0017426,0.0017426,0.0017426
15,745.728,1.54365,1.85498,1.65006,0.44382,0.43381,0.38315,0.1524,1.91115,1.98134,2.0496,0.0017228,0.0017228,0.0017228
16,795.811,1.54101,1.83859,1.6534,0.3251,0.37584,0.24702,0.10445,1.92555,2.13937,2.10318,0.001703,0.001703,0.001703
17,844.907,1.52982,1.80556,1.64299,0.43792,0.44295,0.38802,0.17689,1.75861,1.92773,1.97887,0.0016832,0.0016832,0.0016832
18,894.572,1.51466,1.75759,1.61841,0.44277,0.35197,0.37681,0.18011,1.84472,1.98944,2.0607,0.0016634,0.0016634,0.0016634
19,943.94,1.49549,1.78648,1.61044,0.31179,0.54362,0.32677,0.14737,1.90316,2.08614,2.09871,0.0016436,0.0016436,0.0016436
20,993.326,1.46741,1.70373,1.58661,0.41709,0.47651,0.35446,0.15403,1.90712,1.9634,2.12875,0.0016238,0.0016238,0.0016238
21,1042.57,1.45353,1.69123,1.57617,0.42318,0.48322,0.40846,0.18421,1.9108,2.00713,2.08207,0.001604,0.001604,0.001604
22,1090.55,1.47095,1.67132,1.58221,0.39598,0.51007,0.34952,0.14064,1.96966,2.06858,2.1632,0.0015842,0.0015842,0.0015842
23,1139.81,1.41913,1.6257,1.55799,0.50535,0.44966,0.44282,0.19392,1.85176,1.85193,2.05679,0.0015644,0.0015644,0.0015644
24,1189.5,1.40299,1.60794,1.54901,0.42845,0.44295,0.36574,0.15926,1.93153,1.99153,2.09244,0.0015446,0.0015446,0.0015446
