epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1149,1.11207,1.07123,1.32113,0.52104,0.44295,0.46455,0.21519,1.87204,1.7336,2.12245,0.000659091,0.000659091,0.000659091
2,100.542,1.15067,1.10414,1.34629,0.43007,0.44966,0.39595,0.17346,1.90061,1.80403,2.16493,0.00129951,0.00129951,0.00129951
3,149.831,1.18117,1.13875,1.35755,0.45633,0.45638,0.3825,0.17099,1.89587,1.7298,2.18626,0.00191352,0.00191352,0.00191352
4,198.134,1.2299,1.21861,1.39532,0.48196,0.41611,0.39361,0.16157,1.95643,1.74452,2.2594,0.0018812,0.0018812,0.0018812
5,246.788,1.21761,1.19698,1.38857,0.41777,0.44295,0.35327,0.14795,1.96659,1.94124,2.21052,0.0018416,0.0018416,0.0018416
6,294.867,1.2147,1.1899,1.39329,0.48779,0.43624,0.40187,0.1781,1.89606,1.75576,2.17151,0.001802,0.001802,0.001802
7,342.664,1.19322,1.17325,1.37267,0.35339,0.4094,0.33882,0.14652,1.95899,2.04572,2.2866,0.0017624,0.0017624,0.0017624
8,389.826,1.19144,1.1454,1.36455,0.37819,0.49664,0.34954,0.15348,1.98717,1.79631,2.33175,0.0017228,0.0017228,0.0017228
9,437.871,1.15363,1.10958,1.34594,0.49419,0.3557,0.35273,0.15062,2.10738,2.00746,2.45896,0.0016832,0.0016832,0.0016832
10,485.419,1.15118,1.10641,1.35092,0.45441,0.37584,0.33834,0.14535,2.08733,2.23693,2.362,0.0016436,0.0016436,0.0016436
11,533.227,1.18209,1.13397,1.36002,0.42402,0.46309,0.3797,0.17303,2.00743,1.80142,2.34235,0.001604,0.001604,0.001604
12,581.328,1.14663,1.09428,1.33882,0.43042,0.46309,0.35253,0.15437,1.88983,1.86011,2.21831,0.0015644,0.0015644,0.0015644
13,630.104,1.13947,1.04686,1.32135,0.4686,0.42953,0.34619,0.14801,1.90607,1.8034,2.20789,0.0015248,0.0015248,0.0015248
14,677.196,1.10358,1.01028,1.30622,0.429,0.42953,0.3682,0.1636,1.88647,1.96891,2.14874,0.0014852,0.0014852,0.0014852
15,724.623,1.12153,1.03819,1.3165,0.47078,0.42953,0.4191,0.19397,1.84256,1.78216,2.13185,0.0014456,0.0014456,0.0014456
16,773.25,1.07641,0.99334,1.28723,0.53358,0.41611,0.43322,0.19262,1.88765,1.90626,2.18572,0.001406,0.001406,0.001406
17,820.738,1.07616,0.98663,1.28228,0.43146,0.42953,0.36828,0.17048,1.96509,2.01138,2.30221,0.0013664,0.0013664,0.0013664
18,869.438,1.05435,0.94858,1.26669,0.49831,0.49664,0.43324,0.19545,1.85418,1.75387,2.13494,0.0013268,0.0013268,0.0013268
