epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7784,2.37186,3.99144,2.38909,0.08542,0.0604,0.04355,0.01235,2.94371,3.50214,3.52722,0.000655367,0.000655367,0.000655367
2,43.5122,2.29746,2.92451,2.25399,0.0176,0.04698,0.00556,0.0012,3.14288,28.1874,5.7897,0.00129586,0.00129586,0.00129586
3,63.8523,2.28551,2.90429,2.29671,0.07112,0.02013,0.00785,0.00172,3.86937,9.01725,4.50487,0.00190995,0.00190995,0.00190995
4,83.7703,2.22672,2.85165,2.25453,0.0285,0.11409,0.01488,0.00461,2.72226,4.91065,3.04262,0.0018812,0.0018812,0.0018812
5,104.194,2.18358,2.77092,2.21014,0.01769,0.03356,0.00903,0.00245,2.94612,4.4581,3.15475,0.0018416,0.0018416,0.0018416
6,123.851,2.12431,2.75268,2.19735,0.17515,0.07383,0.05558,0.01618,3.01716,4.04668,3.31342,0.001802,0.001802,0.001802
7,144.286,2.03091,2.61257,2.10178,0.15255,0.22148,0.08513,0.02408,2.7013,3.77668,2.89076,0.0017624,0.0017624,0.0017624
8,164.177,2.01174,2.61204,2.10959,0.15683,0.26174,0.11347,0.03433,2.39145,2.99811,2.70271,0.0017228,0.0017228,0.0017228
9,184.463,1.9734,2.57816,2.05408,0.13185,0.16003,0.08842,0.0282,2.14897,3.70694,2.44629,0.0016832,0.0016832,0.0016832
10,204.44,1.92128,2.52167,1.98507,0.19852,0.26846,0.13435,0.04392,2.41509,2.66424,2.56693,0.0016436,0.0016436,0.0016436
11,224.761,1.91848,2.48621,2.01562,0.18758,0.24832,0.15786,0.04641,2.29717,2.79686,2.52689,0.001604,0.001604,0.001604
12,245.623,1.91466,2.43284,1.99775,0.16777,0.14765,0.11023,0.03605,2.31052,2.72333,2.53798,0.0015644,0.0015644,0.0015644
13,265.056,1.84827,2.42199,1.99205,0.20938,0.24832,0.16018,0.05254,2.31365,2.47208,2.43504,0.0015248,0.0015248,0.0015248
14,285.503,1.87817,2.3924,1.94936,0.24438,0.30822,0.18022,0.05445,2.29151,2.57521,2.52404,0.0014852,0.0014852,0.0014852
15,305.541,1.80795,2.34309,1.90255,0.18964,0.25503,0.14713,0.04442,2.24011,2.75112,2.55116,0.0014456,0.0014456,0.0014456
16,325.74,1.79677,2.30363,1.88835,0.2778,0.3557,0.2373,0.08847,1.99701,2.38398,2.244,0.001406,0.001406,0.001406
17,345.162,1.78065,2.25176,1.87954,0.30014,0.26846,0.19805,0.07187,2.0463,2.34898,2.25411,0.0013664,0.0013664,0.0013664
18,365.503,1.79882,2.24705,1.9024,0.31961,0.32215,0.23543,0.08502,2.0172,2.248,2.27688,0.0013268,0.0013268,0.0013268
19,384.799,1.74091,2.19534,1.83276,0.31817,0.38209,0.23828,0.08434,1.98457,2.21916,2.19758,0.0012872,0.0012872,0.0012872
20,404.925,1.70834,2.12791,1.81355,0.35381,0.37584,0.27572,0.10215,1.9581,2.41042,2.18272,0.0012476,0.0012476,0.0012476
21,424.116,1.71234,2.11869,1.82693,0.26225,0.32886,0.23694,0.09206,2.02248,2.24893,2.21643,0.001208,0.001208,0.001208
22,444.304,1.69922,2.13056,1.83395,0.30696,0.31809,0.25672,0.09664,1.92437,2.18064,2.15516,0.0011684,0.0011684,0.0011684
23,463.579,1.66713,2.09495,1.77915,0.30325,0.38558,0.26782,0.11095,1.99414,2.24329,2.20697,0.0011288,0.0011288,0.0011288
24,483.71,1.66144,2.09513,1.7665,0.32046,0.3557,0.28807,0.11992,1.91328,2.17319,2.12969,0.0010892,0.0010892,0.0010892
25,503.18,1.65842,2.06883,1.78156,0.327,0.45638,0.31286,0.12038,1.91952,2.17253,2.12521,0.0010496,0.0010496,0.0010496
26,523.626,1.59253,1.97535,1.71199,0.32021,0.42679,0.33553,0.12768,1.9128,2.01362,2.12122,0.00101,0.00101,0.00101
27,543.113,1.60756,1.97176,1.74711,0.3911,0.42953,0.34372,0.14502,1.89855,2.0305,2.09578,0.0009704,0.0009704,0.0009704
28,563.297,1.62664,1.97498,1.74745,0.36561,0.46309,0.37232,0.16488,1.85546,2.0984,2.08552,0.0009308,0.0009308,0.0009308
29,582.856,1.61436,1.96853,1.7162,0.40845,0.42953,0.35932,0.16507,1.89578,1.94173,2.08316,0.0008912,0.0008912,0.0008912
30,603.08,1.56115,1.93772,1.70193,0.39546,0.4094,0.33061,0.13713,1.9662,2.01363,2.17881,0.0008516,0.0008516,0.0008516
31,622.999,1.54464,1.88496,1.68917,0.37083,0.41611,0.33316,0.14568,1.88849,1.97611,2.08862,0.000812,0.000812,0.000812
32,643.241,1.53717,1.8593,1.67764,0.38476,0.30201,0.3375,0.15118,1.91038,2.05357,2.13044,0.0007724,0.0007724,0.0007724
33,664.034,1.54872,1.83907,1.70066,0.33895,0.4698,0.35882,0.14966,1.9197,1.96676,2.1218,0.0007328,0.0007328,0.0007328
34,683.557,1.49863,1.80481,1.66031,0.39285,0.40268,0.31078,0.13351,1.88905,2.06809,2.10299,0.0006932,0.0006932,0.0006932
35,703.934,1.46268,1.77844,1.64788,0.3299,0.52349,0.36482,0.17226,1.83303,1.91419,2.06272,0.0006536,0.0006536,0.0006536
36,723.645,1.51692,1.78631,1.66398,0.37644,0.44966,0.34868,0.16229,1.86831,1.9578,2.09825,0.000614,0.000614,0.000614
37,744.093,1.46945,1.75725,1.64952,0.44012,0.42735,0.40055,0.1818,1.9127,1.91692,2.13159,0.0005744,0.0005744,0.0005744
38,763.582,1.44018,1.73711,1.62047,0.41001,0.5302,0.38986,0.17441,1.80502,1.84482,2.00223,0.0005348,0.0005348,0.0005348
39,784.283,1.45537,1.7372,1.63342,0.46218,0.45638,0.39966,0.18547,1.82322,1.83299,2.02592,0.0004952,0.0004952,0.0004952
40,804.052,1.44833,1.69154,1.61164,0.41055,0.44966,0.36539,0.17014,1.79286,1.9065,2.01998,0.0004556,0.0004556,0.0004556
41,825.89,1.48556,1.68497,1.73226,0.48995,0.41611,0.39167,0.17705,1.93578,1.89517,2.13866,0.000416,0.000416,0.000416
42,845.466,1.40052,1.55445,1.66562,0.43867,0.49664,0.43421,0.19355,1.89114,1.77846,2.06523,0.0003764,0.0003764,0.0003764
43,865.055,1.37029,1.48805,1.63683,0.37596,0.57718,0.42016,0.18491,1.8963,1.78586,2.07538,0.0003368,0.0003368,0.0003368
44,884.151,1.38302,1.44617,1.64682,0.39911,0.53691,0.4206,0.17922,1.81602,1.80688,2.01675,0.0002972,0.0002972,0.0002972
45,903.54,1.34276,1.36997,1.61141,0.45786,0.55705,0.47129,0.21161,1.88751,1.70869,2.06473,0.0002576,0.0002576,0.0002576
46,922.445,1.28224,1.32781,1.57242,0.50714,0.51007,0.45849,0.19901,1.88467,1.71037,2.11008,0.000218,0.000218,0.000218
